Platform,Problem ID,Problem Name,Rating,Status,Problem Link,Contest Name,Contest Date,Contest Link,Tags,Last Edit
Codeforces,1679A,AvtoBus,900,,https://codeforces.com/contest/1679/problem/A,Codeforces Round #791 (Div. 2),2022-05-14,https://codeforces.com/contest/1679,"brute force, greedy, math, number theory",
Codeforces,1678B2,Tokitsukaze and Good 01-String (hard version),1800,,https://codeforces.com/contest/1678/problem/B2,Codeforces Round #789 (Div. 2),2022-05-08,https://codeforces.com/contest/1678,"dp, greedy, implementation",
Codeforces,1678B1,Tokitsukaze and Good 01-String (easy version),800,,https://codeforces.com/contest/1678/problem/B1,Codeforces Round #789 (Div. 2),2022-05-08,https://codeforces.com/contest/1678,implementation,
Codeforces,1678A,Tokitsukaze and All Zero Sequence,800,,https://codeforces.com/contest/1678/problem/A,Codeforces Round #789 (Div. 2),2022-05-08,https://codeforces.com/contest/1678,implementation,
Codeforces,1677F,Tokitsukaze and Gems,3500,,https://codeforces.com/contest/1677/problem/F,Codeforces Round #789 (Div. 1),2022-05-08,https://codeforces.com/contest/1677,"dp, math",
Codeforces,1677E,Tokitsukaze and Beautiful Subsegments,2900,,https://codeforces.com/contest/1677/problem/E,Codeforces Round #789 (Div. 1),2022-05-08,https://codeforces.com/contest/1677,data structures,
Codeforces,1677D,Tokitsukaze and Permutations,2500,,https://codeforces.com/contest/1677/problem/D,Codeforces Round #789 (Div. 1),2022-05-08,https://codeforces.com/contest/1677,"dp, math",
Codeforces,1677C,Tokitsukaze and Two Colorful Tapes,1900,,https://codeforces.com/contest/1677/problem/C,Codeforces Round #789 (Div. 1),2022-05-08,https://codeforces.com/contest/1677,"constructive algorithms, dfs and similar, graphs, greedy",
Codeforces,1677B,Tokitsukaze and Meeting,1700,,https://codeforces.com/contest/1677/problem/B,Codeforces Round #789 (Div. 1),2022-05-08,https://codeforces.com/contest/1677,"data structures, implementation, math",
Codeforces,1677A,Tokitsukaze and Strange Inequality,1600,,https://codeforces.com/contest/1677/problem/A,Codeforces Round #789 (Div. 1),2022-05-08,https://codeforces.com/contest/1677,"brute force, data structures, dp",
Codeforces,1676H2,Maximum Crossings (Hard Version),1500,,https://codeforces.com/contest/1676/problem/H2,Codeforces Round #790 (Div. 4),2022-05-10,https://codeforces.com/contest/1676,"data structures, divide and conquer, sortings",
Codeforces,1676H1,Maximum Crossings (Easy Version),1400,,https://codeforces.com/contest/1676/problem/H1,Codeforces Round #790 (Div. 4),2022-05-10,https://codeforces.com/contest/1676,brute force,
Codeforces,1676G,White-Black Balanced Subtrees,1300,,https://codeforces.com/contest/1676/problem/G,Codeforces Round #790 (Div. 4),2022-05-10,https://codeforces.com/contest/1676,"dfs and similar, dp, graphs, trees",
Codeforces,1676F,Longest Strike,1300,,https://codeforces.com/contest/1676/problem/F,Codeforces Round #790 (Div. 4),2022-05-10,https://codeforces.com/contest/1676,"data structures, greedy, implementation, sortings, two pointers",
Codeforces,1676E,Eating Queries,1100,,https://codeforces.com/contest/1676/problem/E,Codeforces Round #790 (Div. 4),2022-05-10,https://codeforces.com/contest/1676,"binary search, greedy, sortings",
Codeforces,1676D,X-Sum,1000,,https://codeforces.com/contest/1676/problem/D,Codeforces Round #790 (Div. 4),2022-05-10,https://codeforces.com/contest/1676,"brute force, greedy, implementation",
Codeforces,1676C,Most Similar Words,800,,https://codeforces.com/contest/1676/problem/C,Codeforces Round #790 (Div. 4),2022-05-10,https://codeforces.com/contest/1676,"brute force, greedy, implementation, implementation, math, strings",
Codeforces,1676B,Equal Candies,800,,https://codeforces.com/contest/1676/problem/B,Codeforces Round #790 (Div. 4),2022-05-10,https://codeforces.com/contest/1676,"greedy, math, sortings",
Codeforces,1676A,Lucky?,800,,https://codeforces.com/contest/1676/problem/A,Codeforces Round #790 (Div. 4),2022-05-10,https://codeforces.com/contest/1676,implementation,
